"","Accession.Number","Bimp","GeneID","Locus","Protein.Name"
"78","XP_003484554.1","BIMP19631",100749896,"LOC100749896","zeta-sarcoglycan isoform X1"
"79","XP_003484562.1","BIMP19615",100740883,"LOC100740883","probable cytochrome P450 28d1, partial"
"80","XP_003484569.1","BIMP19635",100741725,"LOC100741725","odorant receptor 67c-like isoform X2"
"81","XP_003484574.1","BIMP19643",100742330,"LOC100742330","odorant receptor 85f-like"
"82","XP_003484576.1","BIMP19648",100742576,"LOC100742576","odorant receptor 4-like"
"83","XP_003484578.1","BIMP19650",100742811,"LOC100742811","odorant receptor 82a-like"
"84","XP_003484581.1","BIMP19614",100743168,"LOC100743168","cytochrome P450 9e2-like"
"85","XP_003484582.1","BIMP19613",100743288,"LOC100743288","bicaudal D-related protein homolog"
"86","XP_003484583.1","BIMP19617",100743407,"LOC100743407","coiled-coil domain-containing protein 63-like"
"87","XP_003484589.1","BIMP19621",100744041,"LOC100744041","N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase"
"88","XP_003484591.1","BIMP19606",100744274,"LOC100744274","neuronal membrane glycoprotein M6-a isoform X1"
"89","XP_003484592.1","BIMP19605",100744392,"LOC100744392","serine/threonine-protein kinase PLK4 isoform X1"
"90","XP_003484593.1","BIMP19604",100744514,"LOC100744514","tudor domain-containing protein 3 isoform X1"
"91","XP_003484595.1","BIMP23160",100744751,"LOC100744751","negative elongation factor E"
"92","XP_003484597.1","BIMP23124",100744991,"LOC100744991","protein SCAI isoform X1"
"93","XP_003484601.1","BIMP23122",100745442,"LOC100745442","cleavage and polyadenylation specificity factor subunit 5"
"94","XP_003484603.1","BIMP23123",100745681,"LOC100745681","uncharacterized protein LOC100745681 isoform X1"
"95","XP_003484604.1","BIMP23164",100745803,"LOC100745803","uncharacterized protein LOC100745803"
"96","XP_003484605.1","BIMP23165",100745923,"LOC100745923","peroxidasin homolog isoform X1"
"97","XP_003484606.1","BIMP23121",100746044,"LOC100746044","acyl-coenzyme A thioesterase 13"
"98","XP_003484608.1","BIMP23171",100746404,"LOC100746404","uncharacterized protein LOC100746404"
"99","XP_003484609.1","BIMP23173",100746522,"LOC100746522","uncharacterized protein LOC100746522"
"100","XP_003484611.1","BIMP23175",100746760,"LOC100746760","actin-related protein 2/3 complex subunit 1A-A isoform X2"
"101","XP_003484615.1","BIMP23177",100747187,"LOC100747187","ribosome biogenesis regulatory protein homolog"
"102","XP_003484616.1","BIMP23115",100747307,"LOC100747307","nuclear transcription factor Y subunit B-1"
"103","XP_003484617.1","BIMP23179",100747428,"LOC100747428","uncharacterized protein LOC100747428"
"104","XP_003484618.1","BIMP23180",100747545,"LOC100747545","ubiquinone biosynthesis protein COQ9, mitochondrial isoform X1"
"105","XP_003484619.1","BIMP23114",100747667,"LOC100747667","uncharacterized protein LOC100747667 isoform X2"
"106","XP_003484620.2","BIMP23113",100747790,"LOC100747790","trichohyalin isoform X5"
"107","XP_003484622.1","BIMP23182",100748150,"LOC100748150","uncharacterized protein LOC100748150 isoform X2"
"108","XP_003484628.1","BIMP23110",100748834,"LOC100748834","MAU2 chromatid cohesion factor homolog"
"109","XP_003484631.1","BIMP23187",100749149,"LOC100749149","NADH-quinone oxidoreductase subunit B"
"110","XP_003484632.1","BIMP23189",100749271,"LOC100749271","ubiquitin conjugation factor E4 A"
"111","XP_003484634.1","BIMP23108",100749504,"LOC100749504","pre-mRNA-processing-splicing factor 8"
"112","XP_003484635.1","BIMP23191",100749622,"LOC100749622","ribosomal protein S6 kinase beta-1"
"113","XP_003484638.1","BIMP23192",100749980,"LOC100749980","sesquipedalian-1"
"114","XP_003484639.1","BIMP21444",100750100,"LOC100750100","tRNA-dihydrouridine(16/17) synthase"
"115","XP_003484642.1","BIMP23104",100740401,"LOC100740401","discoidin domain-containing receptor 2 isoform X1"
"116","XP_003484643.1","BIMP23103",100740521,"LOC100740521","exopolyphosphatase PRUNE1 isoform X1"
"117","XP_003484645.1","BIMP23197",100740762,"LOC100740762","protein scabrous-like"
"118","XP_003484646.1","BIMP23200",100740884,"LOC100740884","myoneurin-like"
"119","XP_003484647.1","BIMP23100",100741006,"LOC100741006","putative E3 ubiquitin-protein ligase UBR7 isoform X1"
"120","XP_003484648.1","BIMP23199",100741126,"LOC100741126","uncharacterized protein LOC100741126"
"121","XP_003484651.1","BIMP23201",100741487,"LOC100741487","39S ribosomal protein L38, mitochondrial"
"122","XP_003484652.1","BIMP23201",100741487,"LOC100741487","39S ribosomal protein L38, mitochondrial"
"123","XP_003484654.1","BIMP23202",100741805,"LOC100741805","organic cation transporter protein"
"124","XP_003484661.1","BIMP23204",100742577,"LOC100742577","adenylate kinase isoenzyme 1"
"125","XP_003484662.2","BIMP23205",100742693,"LOC100742693","uncharacterized protein LOC100742693"
"126","XP_003484663.1","BIMP23087",100742928,"LOC100742928","uncharacterized protein LOC100742928"
"127","XP_003484671.1","BIMP23080",100744042,"LOC100744042","lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog"
"128","XP_003484674.1","BIMP23211",100744393,"LOC100744393","U6 snRNA-associated Sm-like protein LSm5"
"129","XP_003484675.1","BIMP23213",100744596,"LOC100744596","ATP-dependent DNA helicase Q4 isoform X1"
"130","XP_003484677.1","BIMP23071",100744954,"LOC100744954","3-hydroxyacyl-CoA dehydrogenase type-2"
"131","XP_003484679.1","BIMP23219",100745197,"LOC100745197","uncharacterized protein LOC100745197 isoform X1"
"132","XP_003484682.1","BIMP23066",100745561,"LOC100745561","myosin regulatory light chain sqh"
"133","XP_003484685.1","BIMP23064",100745924,"LOC100745924","twisted gastrulation protein homolog 1-B-like isoform X2"
"134","XP_003484688.1","BIMP23144",100746286,"LOC100746286","exonuclease mut-7 homolog isoform X2"
"135","XP_003484689.1","BIMP23135",100746523,"LOC100746523","ADP,ATP carrier protein-like"
"136","XP_003484693.1","BIMP23156",100746998,"LOC100746998","phosphatidylserine lipase ABHD16A"
"137","XP_003484696.1","BIMP23167",100747352,"LOC100747352","carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein isoform X1"
"138","XP_003484696.1","BIMP23166",100747352,"LOC100747352","carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein isoform X1"
"139","XP_003484698.1","BIMP23172",100747585,"LOC100747585","uncharacterized protein LOC100747585 isoform X1"
"140","XP_003484699.1","BIMP23174",100747709,"LOC100747709","uncharacterized protein LOC100747709"
"141","XP_003484700.1","BIMP23138",100747831,"LOC100747831","uncharacterized protein LOC100747831"
"142","XP_003484701.2","BIMP23117",100747951,"LOC100747951","uncharacterized protein LOC100747951"
"143","XP_003484702.1","BIMP23184",100748072,"LOC100748072","multiple C2 and transmembrane domain-containing protein isoform X5"
"144","XP_003484705.1","BIMP23101",100748554,"LOC100748554","SCY1-like protein 2 isoform X2"
"145","XP_003484708.2","BIMP23203",100748908,"LOC100748908","UPF0565 protein C2orf69 homolog isoform X1"
"146","XP_003484710.2","BIMP23078",100749272,"LOC100749272","serine/threonine-protein kinase mos"
"147","XP_003484714.1","BIMP23070",100749863,"LOC100749863","kelch domain-containing protein 4 isoform X1"
"148","XP_003484718.1","BIMP23146",100740244,"LOC100740244","forkhead box protein A4-A-like"
"149","XP_003484719.1","BIMP23147",100740364,"LOC100740364","importin-4"
"150","XP_003484720.1","BIMP23148",100740483,"LOC100740483","adenylate cyclase type 2 isoform X1"
"151","XP_003484721.1","BIMP23149",100740603,"LOC100740603","syntaxin-7"
"152","XP_003484722.1","BIMP23150",100740726,"LOC100740726","uncharacterized protein CG1161"
"153","XP_003484723.1","BIMP23134",100740847,"LOC100740847","flotillin-1 isoform X2"
"154","XP_003484724.1","BIMP23134",100740847,"LOC100740847","flotillin-1 isoform X1"
"155","XP_003484725.1","BIMP23133",100741046,"LOC100741046","telomere length and silencing protein 1 homolog"
"156","XP_003484726.1","BIMP23151",100741169,"LOC100741169","small subunit processome component 20 homolog"
"157","XP_003484727.1","BIMP23152",100741283,"LOC100741283","probable cytochrome P450 305a1"
"158","XP_003484728.1","BIMP23132",100741407,"LOC100741407","methyl farnesoate epoxidase"
"159","XP_003484729.1","BIMP23153",100741527,"LOC100741527","retinoid-inducible serine carboxypeptidase-like"
"160","XP_003484731.1","BIMP23129",100741767,"LOC100741767","GDP-mannose 4,6 dehydratase isoform X1"
"161","XP_003484732.1","BIMP23155",100741884,"LOC100741884","proteasome subunit beta type-1"
"162","XP_003484733.1","BIMP23128",100742003,"LOC100742003","endothelial differentiation-related factor 1 homolog"
"163","XP_003484734.1","BIMP23127",100742124,"LOC100742124","ran GTPase-activating protein 1"
"164","XP_003484737.1","BIMP23158",100742490,"LOC100742490","major facilitator superfamily domain-containing protein 6"
"165","XP_003484740.1","BIMP15691",100742731,"LOC100742731","rho-related BTB domain-containing protein 1 isoform X1"
"166","XP_003484743.1","BIMP15724",100743207,"LOC100743207","copper homeostasis protein cutC homolog"
"167","XP_003484744.1","BIMP15725",100743330,"LOC100743330","ABC transporter G family member 20 isoform X5"
"168","XP_003484745.1","BIMP15662",100743455,"LOC100743455","retinol-binding protein pinta"
"169","XP_003484747.1","BIMP15660",100743692,"LOC100743692","BCL2/adenovirus E1B 19 kDa protein-interacting protein 3"
"170","XP_003484748.1","BIMP15727",100743813,"LOC100743813","polyadenylate-binding protein-interacting protein 2"
"171","XP_003484752.1","BIMP15728",100744235,"LOC100744235","crossover junction endonuclease EME1 isoform X1"
"172","XP_003484753.1","BIMP15658",100744353,"LOC100744353","exportin-7 isoform X2"
"173","XP_003484754.1","BIMP15657",100744475,"LOC100744475","beta-TrCP isoform X1"
"174","XP_003484757.1","BIMP15731",100744835,"LOC100744835","glycerol-3-phosphate acyltransferase 1, mitochondrial isoform X5"
"175","XP_003484758.1","BIMP15654",100744955,"LOC100744955","tektin-3"
"176","XP_003484760.1","BIMP15732",100745323,"LOC100745323","V-type proton ATPase subunit S1"
"177","XP_003484761.1","BIMP15650",100745444,"LOC100745444","AN1-type zinc finger protein 1"
"178","XP_003484763.1","BIMP15647",100745683,"LOC100745683","myophilin"
"179","XP_003484765.1","BIMP15646",100745925,"LOC100745925","inducible metalloproteinase inhibitor protein-like"
"180","XP_003484766.1","BIMP15740",100746046,"LOC100746046","chymotrypsin inhibitor"
"181","XP_003484767.1","BIMP15645",100746167,"LOC100746167","chymotrypsin inhibitor"
"182","XP_003484768.1","BIMP15741",100746287,"LOC100746287","uncharacterized protein LOC100746287 isoform X1"
"183","XP_003484771.1","BIMP15745",100746596,"LOC100746596","facilitated trehalose transporter Tret1 isoform X1"
"184","XP_003484772.1","BIMP15745",100746596,"LOC100746596","facilitated trehalose transporter Tret1 isoform X1"
"185","XP_003484776.1","BIMP15751",100747150,"LOC100747150","uncharacterized protein LOC100747150 isoform X4"
"186","XP_003484778.1","BIMP15755",100747510,"LOC100747510","DNA mismatch repair protein Mlh1 isoform X1"
"187","XP_003484780.1","BIMP15631",100747748,"LOC100747748","ribose-5-phosphate isomerase"
"188","XP_003484782.1","BIMP15686",100747991,"LOC100747991","PR domain zinc finger protein 5 isoform X1"
"189","XP_003484783.1","BIMP15757",100748115,"LOC100748115","dihydropteridine reductase"
"190","XP_003484784.1","BIMP15629",100748237,"LOC100748237","ATP synthase subunit e, mitochondrial"
"191","XP_003484785.1","BIMP15758",100748352,"LOC100748352","glycerol-3-phosphate acyltransferase 3 isoform X2"
"192","XP_003484787.1","BIMP15758",100748352,"LOC100748352","glycerol-3-phosphate acyltransferase 3 isoform X1"
"193","XP_003484788.1","BIMP15628",100748627,"LOC100748627","39S ribosomal protein L43, mitochondrial"
"194","XP_003484790.1","BIMP15625",100748867,"LOC100748867","aldo-keto reductase family 1 member B1"
"195","XP_003484792.1","BIMP15624",100749107,"LOC100749107","uncharacterized protein LOC100749107"
"196","XP_003484798.1","BIMP15617",100749821,"LOC100749821","DDRGK domain-containing protein 1"
"197","XP_003484799.1","BIMP15761",100749940,"LOC100749940","transmembrane emp24 domain-containing protein eca"
"198","XP_003484801.1","BIMP15765",100750178,"LOC100750178","neuropeptide SIFamide receptor"
"199","XP_003484802.1","BIMP15764",100740078,"LOC100740078","flagellar hook-length control protein-like"
"200","XP_003484807.1","BIMP15688",100740687,"LOC100740687","uncharacterized protein LOC100740687"
"201","XP_003484808.1","BIMP15700",100740808,"LOC100740808","protein phosphatase 1 regulatory subunit 3C-B"
"202","XP_003484810.2","BIMP15713",100741047,"LOC100741047","hydroxymethylglutaryl-CoA lyase, mitochondrial"
"203","XP_003484812.2","BIMP15716",100741284,"LOC100741284","coiled-coil domain-containing protein 186 isoform X2"
"204","XP_003484814.1","BIMP15701",100741649,"LOC100741649","serine protease snake"
"205","XP_003484815.1","BIMP15655",100741768,"LOC100741768","nucleolar complex protein 3 homolog isoform X1"
"206","XP_003484816.1","BIMP15733",100741885,"LOC100741885","tetraspanin-33 isoform X2"
"207","XP_003484819.1","BIMP15746",117151106,"LOC117151106","headcase protein isoform X1"
"208","XP_003484819.1","BIMP15744",117151106,"LOC117151106","headcase protein isoform X1"
"209","XP_003484821.2","BIMP15644",100742491,"LOC100742491","uncharacterized protein LOC100742491"
"210","XP_003484823.1","BIMP15684",100742732,"LOC100742732","interleukin enhancer-binding factor 2 isoform X2"
"211","XP_003484825.1","BIMP15632",100742965,"LOC100742965","uncharacterized protein LOC100742965"
"212","XP_003484830.1","BIMP15768",100743578,"LOC100743578","odorant receptor 30a-like"
"213","XP_003484832.1","BIMP15770",100743814,"LOC100743814","odorant receptor 13a-like"
"214","XP_003484833.2","BIMP15773",100744043,"LOC100744043","uncharacterized protein LOC100744043, partial"
"215","XP_003484835.1","BIMP15704",100744276,"LOC100744276","ralA-binding protein 1"
"216","XP_003484836.1","BIMP15683",100744394,"LOC100744394","V-type proton ATPase subunit B"
"217","XP_003484837.1","BIMP15705",100744515,"LOC100744515","4-hydroxybutyrate coenzyme A transferase isoform X2"
"218","XP_003484840.1","BIMP15706",100744871,"LOC100744871","4-hydroxybutyrate coenzyme A transferase-like"
"219","XP_003484842.1","BIMP15708",100745114,"LOC100745114","mediator of RNA polymerase II transcription subunit 28"
"220","XP_003484843.1","BIMP15681",100745233,"LOC100745233","cytosol aminopeptidase isoform X2"
"221","XP_003484844.1","BIMP15709",100745354,"LOC100745354","F-box/LRR-repeat protein 7 isoform X1"
"222","XP_003484847.1","BIMP15710",100745684,"LOC100745684","rhomboid-related protein 4"
"223","XP_003484850.1","BIMP15676",100745926,"LOC100745926","mannosyl-oligosaccharide glucosidase GCS1 isoform X1"
"224","XP_003484851.1","BIMP15692",100746121,"LOC100746121","RING finger protein 37"
"225","XP_003484852.1","BIMP15675",100746242,"LOC100746242","O-phosphoseryl-tRNA(Sec) selenium transferase"
"226","XP_003484853.1","BIMP15677",100746364,"LOC100746364","actin-related protein 1 isoform X1"
"227","XP_003484854.1","BIMP15674",100746479,"LOC100746479","protein FRA10AC1"
"228","XP_003484857.1","BIMP15715",100746838,"LOC100746838","probable sulfite oxidase, mitochondrial"
"229","XP_003484858.1","BIMP15671",100746954,"LOC100746954","RING finger protein 44 isoform X1"
"230","XP_003484859.1","BIMP15697",100747074,"LOC100747074","H/ACA ribonucleoprotein complex subunit 2-like protein"
"231","XP_003484860.1","BIMP15717",100747188,"LOC100747188","proline-rich nuclear receptor coactivator 2-like"
"232","XP_003484863.1","BIMP15667",100747832,"LOC100747832","peroxiredoxin 1"
"233","XP_003484867.1","BIMP24728",100748316,"LOC100748316","survival motor neuron protein isoform X2"
"234","XP_003484868.1","BIMP24731",100748436,"LOC100748436","adrenodoxin-like protein 2, mitochondrial"
"235","XP_003484870.2","BIMP24732",100748674,"LOC100748674","uncharacterized protein LOC100748674 isoform X2"
"236","XP_003484871.1","BIMP24726",100748795,"LOC100748795","ubiquilin-4"
"237","XP_003484873.1","BIMP24733",100749029,"LOC100749029","gonadal protein gdl"
"238","XP_003484874.1","BIMP24733",100749029,"LOC100749029","gonadal protein gdl"
"239","XP_003484875.1","BIMP24735",100749225,"LOC100749225","gamma-tubulin complex component 2"
"240","XP_003484876.1","BIMP24723",100749340,"LOC100749340","transient receptor potential cation channel protein painless"
"241","XP_003484877.1","BIMP24721",100749462,"LOC100749462","nucleosome assembly protein 1-like 1 isoform X1"
"242","XP_003484879.1","BIMP24720",100749702,"LOC100749702","uncharacterized protein LOC100749702 isoform X2"
"243","XP_003484880.1","BIMP24738",100749822,"LOC100749822","probable cytochrome P450 301a1, mitochondrial isoform X2"
"244","XP_003484884.1","BIMP24740",100740001,"LOC100740001","protein ABHD18 isoform X2"
"245","XP_003484886.1","BIMP24715",100740245,"LOC100740245","cilia- and flagella-associated protein 97"
"246","XP_003484887.1","BIMP24741",100740365,"LOC100740365","la-related protein 1B isoform X1"
"247","XP_003484888.1","BIMP24713",100740484,"LOC100740484","PBAN-type neuropeptides-like isoform X2"
"248","XP_003484889.1","BIMP24712",100740604,"LOC100740604","heart- and neural crest derivatives-expressed protein 1-like"
"249","XP_003484893.1","BIMP24709",100741048,"LOC100741048","UMP-CMP kinase isoform X2"
"250","XP_003484895.1","BIMP24743",100741323,"LOC100741323","uncharacterized protein LOC100741323"
"251","XP_003484896.1","BIMP24707",100741445,"LOC100741445","protein king tubby isoform X1"
"252","XP_003484897.1","BIMP24706",100741565,"LOC100741565","transmembrane protein 62"
"253","XP_003484898.1","BIMP24744",100741686,"LOC100741686","uncharacterized protein LOC100741686 isoform X2"
"254","XP_003484900.1","BIMP24745",100741926,"LOC100741926","carbohydrate sulfotransferase 11-like"
"255","XP_003484904.1","BIMP24746",100742366,"LOC100742366","mitochondrial import receptor subunit TOM70"
"256","XP_003484905.1","BIMP24699",100742492,"LOC100742492","UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase isoform X1"
"257","XP_003484906.1","BIMP24747",100742613,"LOC100742613","beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
"258","XP_003484907.1","BIMP24698",100742733,"LOC100742733","tubulin alpha-1 chain"
"259","XP_003484908.1","BIMP24749",100742850,"LOC100742850","coiled-coil and C2 domain-containing protein 2A-like"
"260","XP_003484909.1","BIMP24697",100742966,"LOC100742966","elongation of very long chain fatty acids protein 4-like"
"261","XP_003484910.1","BIMP24750",100743089,"LOC100743089","glycine receptor subunit alpha-1 isoform X4"
"262","XP_003484912.1","BIMP24751",100743289,"LOC100743289","V-type proton ATPase 16 kDa proteolipid subunit"
"263","XP_003484914.1","BIMP24752",100743609,"LOC100743609","syntaxin-12 isoform X2"
"264","XP_003484915.1","BIMP24694",100743725,"LOC100743725","ankyrin repeat and BTB/POZ domain-containing protein BTBD11 isoform X1"
"265","XP_003484917.1","BIMP24693",100743961,"LOC100743961","DNA polymerase delta catalytic subunit isoform X2"
"266","XP_003484919.1","BIMP24753",100744159,"LOC100744159","ADP-ribosylation factor-like protein 1"
"267","XP_003484920.1","BIMP24736",100744277,"LOC100744277","mucin-1 isoform X1"
"268","XP_003484921.1","BIMP24722",100744395,"LOC100744395","N-acetylglucosamine-6-phosphate deacetylase"
"269","XP_003484924.1","BIMP24716",100744753,"LOC100744753","RNA-binding protein 28"
"270","XP_003484927.1","BIMP24748",100745115,"LOC100745115","E3 ubiquitin-protein ligase RNF14 isoform X2"
"271","XP_003484928.1","BIMP24696",100745234,"LOC100745234","periodic tryptophan protein 2 homolog"
"272","XP_003484930.2","BIMP24754",100745477,"LOC100745477","leukocyte surface antigen CD53-like isoform X2"
"273","XP_003484934.1","BIMP19690",100745959,"LOC100745959","ubiquitin carboxyl-terminal hydrolase 48 isoform X2"
"274","XP_003484935.1","BIMP19757",100746079,"LOC100746079","mitotic spindle assembly checkpoint protein MAD2B"
"275","XP_003484937.2","BIMP19759",100746321,"LOC100746321","proteasome subunit beta type-4"
"276","XP_003484938.1","BIMP19760",100746435,"LOC100746435","NAD-dependent protein deacylase sirtuin-5, mitochondrial"
"277","XP_003484939.1","BIMP19686",100746557,"LOC100746557","enhancer of polycomb homolog 1"
"278","XP_003484941.1","BIMP19685",100746799,"LOC100746799","translin"
"279","XP_003484942.1","BIMP19765",100746912,"LOC100746912","chloride channel protein 2 isoform X1"
"280","XP_003484943.1","BIMP19733",100747034,"LOC100747034","enhancer of split m7 protein-like"
