#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","NT_176551.1",67907,72157,"+",100746087,"LOC100746087","-","XP_003486777.1",126,"profilin"
"Un","NT_176551.1",67907,72157,"+",100746087,"LOC100746087","-","XP_012236800.1",126,"profilin"
"Un","NT_176551.1",67907,72157,"+",100746087,"LOC100746087","-","XP_012236801.1",126,"profilin"
"Un","NT_176551.1",83459,135185,"-",100748400,"LOC100748400","-","XP_033174857.1",1348,"uncharacterized protein LOC100748400"
"Un","NT_176551.1",143816,149028,"+",100746208,"LOC100746208","-","XP_012236798.1",522,"sodium/hydrogen exchanger 9B1-like"
"Un","NT_176551.1",152965,154629,"+",117151269,"LOC117151269","-","XP_033174858.1",554,"piggyBac transposable element-derived protein 4-like"
"Un","NT_176551.1",158699,159718,"+",100746566,"LOC100746566","-","XP_003486781.1",240,"sperm-associated antigen 7 homolog"
"Un","NT_176551.1",160035,162797,"-",100746327,"LOC100746327","-","XP_003486779.1",723,"exocyst complex component 8"
"Un","NT_176551.1",163375,165458,"+",100746444,"LOC100746444","-","XP_024221000.1",405,"protein SMG9 isoform X1"
"Un","NT_176551.1",163724,165458,"+",100746444,"LOC100746444","-","XP_033174848.1",384,"protein SMG9 isoform X2"
"Un","NT_176551.1",163724,165458,"+",100746444,"LOC100746444","-","XP_012236824.1",384,"protein SMG9 isoform X2"
"Un","NT_176551.1",163724,165458,"+",100746444,"LOC100746444","-","XP_012236826.1",384,"protein SMG9 isoform X2"
"Un","NT_176551.1",163875,165458,"+",100746444,"LOC100746444","-","XP_024221001.1",340,"protein SMG9 isoform X3"
"Un","NT_176551.1",165770,166439,"-",100746689,"LOC100746689","-","XP_033174851.1",198,"protein Dr1 isoform X1"
"Un","NT_176551.1",165770,166273,"-",100746689,"LOC100746689","-","XP_033174852.1",167,"protein Dr1 isoform X2"
"Un","NT_176551.1",165770,166273,"-",100746689,"LOC100746689","-","XP_012236830.1",167,"protein Dr1 isoform X2"
"Un","NT_176551.1",166877,172827,"+",100748636,"LOC100748636","-","XP_012236821.1",725,"receptor-type tyrosine-protein kinase FLT3-like isoform X1"
"Un","NT_176551.1",166877,172827,"+",100748636,"LOC100748636","-","XP_012236822.1",720,"vascular endothelial growth factor receptor 3-like isoform X2"
"Un","NT_176551.1",174299,176145,"+",100746808,"LOC100746808","-","XP_033174849.1",392,"uncharacterized protein LOC100746808"
"Un","NT_176551.1",177827,199568,"+",105680296,"LOC105680296","-","XP_012236835.1",552,"GPI transamidase component PIG-S"
"Un","NT_176551.1",177827,199568,"+",105680296,"LOC105680296","-","XP_012236836.1",552,"GPI transamidase component PIG-S"
"Un","NT_176551.1",178145,182977,"-",100746920,"LOC100746920","-","XP_024220973.1",570,"protein I\\'m not dead yet"
"Un","NT_176551.1",178145,182977,"-",100746920,"LOC100746920","-","XP_024220974.1",570,"protein I\\'m not dead yet"
"Un","NT_176551.1",178145,182977,"-",100746920,"LOC100746920","-","XP_003486784.1",570,"protein I\\'m not dead yet"
"Un","NT_176551.1",178145,182977,"-",100746920,"LOC100746920","-","XP_012236833.1",570,"protein I\\'m not dead yet"
"Un","NT_176551.1",178145,182977,"-",100746920,"LOC100746920","-","XP_012236834.1",570,"protein I\\'m not dead yet"
"Un","NT_176551.1",200819,204262,"-",100748758,"LOC100748758","-","XP_012236841.1",545,"uncharacterized protein LOC100748758 isoform X2"
"Un","NT_176551.1",200819,204262,"-",100748758,"LOC100748758","-","XP_012236842.1",520,"uncharacterized protein LOC100748758 isoform X3"
"Un","NT_176551.1",200819,204262,"-",100748758,"LOC100748758","-","XP_012236837.1",550,"uncharacterized protein LOC100748758 isoform X1"
"Un","NT_176551.1",200819,204262,"-",100748758,"LOC100748758","-","XP_012236838.1",550,"uncharacterized protein LOC100748758 isoform X1"
"Un","NT_176551.1",200819,204262,"-",100748758,"LOC100748758","-","XP_012236840.1",550,"uncharacterized protein LOC100748758 isoform X1"
"Un","NT_176551.1",200819,203837,"-",100748758,"LOC100748758","-","XP_012236845.1",499,"uncharacterized protein LOC100748758 isoform X5"
"Un","NT_176551.1",200819,203837,"-",100748758,"LOC100748758","-","XP_012236844.1",504,"uncharacterized protein LOC100748758 isoform X4"
"Un","NT_176551.1",200819,203492,"-",100748758,"LOC100748758","-","XP_012236847.1",478,"uncharacterized protein LOC100748758 isoform X7"
"Un","NT_176551.1",200819,203492,"-",100748758,"LOC100748758","-","XP_012236846.1",483,"uncharacterized protein LOC100748758 isoform X6"
"Un","NT_176551.1",200819,203340,"-",100748758,"LOC100748758","-","XP_012236848.1",456,"uncharacterized protein LOC100748758 isoform X8"
"Un","NT_176551.1",205602,207894,"+",100747357,"LOC100747357","-","XP_033174850.1",195,"protein OPI10 homolog isoform X3"
"Un","NT_176551.1",206866,207894,"+",100747357,"LOC100747357","-","XP_003486788.1",196,"protein OPI10 homolog isoform X2"
"Un","NT_176551.1",207040,207894,"+",100747357,"LOC100747357","-","XP_012236815.1",226,"protein OPI10 homolog isoform X1"
"Un","NT_176551.1",209283,214717,"+",100747122,"LOC100747122","-","XP_024220972.1",1034,"myotubularin-related protein 3"
"Un","NT_176551.1",215410,217502,"-",100747237,"LOC100747237","-","XP_003486787.1",439,"gustatory receptor for sugar taste 43a isoform X2"
"Un","NT_176551.1",215513,217502,"-",100747237,"LOC100747237","-","XP_033174847.1",441,"gustatory receptor for sugar taste 43a isoform X1"
"Un","NT_176551.1",219076,220051,"+",100747479,"LOC100747479","-","XP_033174853.1",151,"PAXIP1-associated glutamate-rich protein 1"
"Un","NT_176551.1",220470,223205,"-",100748876,"LOC100748876","-","XP_033174855.1",568,"protein I\\'m not dead yet"
"Un","NT_176551.1",226477,237539,"+",100747593,"LOC100747593","-","XP_024220979.1",505,"uncharacterized protein CG3556"
"Un","NT_176551.1",226477,237539,"+",100747593,"LOC100747593","-","XP_024220980.1",505,"uncharacterized protein CG3556"
"Un","NT_176551.1",226477,237539,"+",100747593,"LOC100747593","-","XP_033174844.1",505,"uncharacterized protein CG3556"
"Un","NT_176551.1",226477,237539,"+",100747593,"LOC100747593","-","XP_033174845.1",505,"uncharacterized protein CG3556"
"Un","NT_176551.1",226477,237539,"+",100747593,"LOC100747593","-","XP_033174846.1",505,"uncharacterized protein CG3556"
"Un","NT_176551.1",226477,237539,"+",100747593,"LOC100747593","-","XP_003486791.1",505,"uncharacterized protein CG3556"
"Un","NT_176551.1",267076,272223,"+",100747799,"LOC100747799","-","XP_003486792.1",486,"protein hairy"
"Un","NT_176551.1",296863,309727,"+",117151262,"LOC117151262","-","XP_033174837.1",122,"uncharacterized protein LOC117151262"
"Un","NT_176551.1",300997,302652,"+",100749115,"LOC100749115","-","XP_033174836.1",332,"elongation of very long chain fatty acids protein 6-like isoform X1"
"Un","NT_176551.1",301292,302652,"+",100749115,"LOC100749115","-","XP_024220971.1",291,"elongation of very long chain fatty acids protein 6-like isoform X2"
"Un","NT_176622.1",6019,113808,"-",100741458,"LOC100741458","-","XP_024222033.1",2500,"voltage-dependent T-type calcium channel subunit alpha-1G isoform X5"
"Un","NT_176622.1",6019,113808,"-",100741458,"LOC100741458","-","XP_033175609.1",2508,"voltage-dependent T-type calcium channel subunit alpha-1G isoform X4"
"Un","NT_176622.1",6019,113808,"-",100741458,"LOC100741458","-","XP_033175610.1",2483,"voltage-dependent T-type calcium channel subunit alpha-1G isoform X6"
"Un","NT_176622.1",6019,113808,"-",100741458,"LOC100741458","-","XP_024222031.1",2513,"voltage-dependent T-type calcium channel subunit alpha-1G isoform X2"
"Un","NT_176622.1",6019,113808,"-",100741458,"LOC100741458","-","XP_033175607.1",2521,"voltage-dependent T-type calcium channel subunit alpha-1G isoform X1"
"Un","NT_176622.1",6019,113808,"-",100741458,"LOC100741458","-","XP_033175608.1",2509,"voltage-dependent T-type calcium channel subunit alpha-1G isoform X3"
"Un","NT_176622.1",7481,113808,"-",100741458,"LOC100741458","-","XP_033175611.1",2330,"voltage-dependent T-type calcium channel subunit alpha-1G isoform X7"
"Un","NT_176622.1",116256,120568,"-",100741577,"LOC100741577","-","XP_003487911.1",831,"spermatogenesis-associated protein 20"
"Un","NT_176622.1",121687,122383,"+",100744443,"LOC100744443","-","XP_012238579.1",81,"probable protein BRICK1-B isoform X1"
"Un","NT_176622.1",121687,122383,"+",100744443,"LOC100744443","-","XP_003487934.1",76,"probable protein BRICK1-B isoform X2"
"Un","NT_176622.1",122490,123411,"-",100741696,"LOC100741696","-","XP_033175593.1",176,"uncharacterized protein LOC100741696 isoform X1"
"Un","NT_176622.1",122490,123088,"-",100741696,"LOC100741696","-","XP_033175594.1",151,"uncharacterized protein LOC100741696 isoform X2"
"Un","NT_176622.1",122490,123088,"-",100741696,"LOC100741696","-","XP_033175595.1",151,"uncharacterized protein LOC100741696 isoform X2"
"Un","NT_176622.1",122490,123088,"-",100741696,"LOC100741696","-","XP_033175596.1",151,"uncharacterized protein LOC100741696 isoform X2"
"Un","NT_176622.1",122490,123088,"-",100741696,"LOC100741696","-","XP_033175597.1",151,"uncharacterized protein LOC100741696 isoform X2"
"Un","NT_176622.1",124438,125294,"+",100741818,"LOC100741818","-","XP_003487913.1",98,"uncharacterized protein LOC100741818"
"Un","NT_176622.1",126637,133717,"+",100749317,"LOC100749317","-","XP_033175587.1",424,"farnesyl pyrophosphate synthase isoform X1"
"Un","NT_176622.1",129415,133717,"+",100749317,"LOC100749317","-","XP_033175588.1",374,"farnesyl pyrophosphate synthase isoform X2"
"Un","NT_176622.1",130857,133717,"+",100749317,"LOC100749317","-","XP_003487810.1",370,"farnesyl pyrophosphate synthase isoform X3"
"Un","NT_176622.1",131888,133717,"+",100749317,"LOC100749317","-","XP_033175589.1",339,"farnesyl pyrophosphate synthase isoform X4"
"Un","NT_176622.1",131888,133717,"+",100749317,"LOC100749317","-","XP_012238576.1",339,"farnesyl pyrophosphate synthase isoform X4"
"Un","NT_176622.1",134130,135765,"-",100741937,"LOC100741937","-","XP_033175592.1",398,"nucleolar protein 8"
"Un","NT_176622.1",134130,135765,"-",100741937,"LOC100741937","-","XP_003487914.2",398,"nucleolar protein 8"
"Un","NT_176622.1",138978,147486,"-",100742054,"LOC100742054","-","XP_003487915.1",656,"sodium-independent sulfate anion transporter"
"Un","NT_176622.1",149132,158517,"-",100748160,"LOC100748160","-","XP_003487800.1",555,"uncharacterized protein LOC100748160 isoform X3"
"Un","NT_176622.1",149132,158517,"-",100748160,"LOC100748160","-","XP_012238404.1",574,"uncharacterized protein LOC100748160 isoform X1"
"Un","NT_176622.1",149132,158517,"-",100748160,"LOC100748160","-","XP_012238407.1",559,"uncharacterized protein LOC100748160 isoform X2"
"Un","NT_176622.1",149132,152938,"-",100748160,"LOC100748160","-","XP_033175584.1",526,"uncharacterized protein LOC100748160 isoform X4"
"Un","NT_176622.1",162129,164345,"-",100742177,"LOC100742177","-","XP_003487916.2",738,"pre-mRNA-splicing factor CWC22 homolog"
"Un","NT_176622.1",166493,177655,"+",100744648,"LOC100744648","-","XP_033175582.1",647,"nuclear protein localization protein 4 homolog"
"Un","NT_176622.1",171532,173778,"-",100745937,"LOC100745937","-","XP_024222016.1",599,"uncharacterized protein LOC100745937"
"Un","NT_176622.1",171532,173778,"-",100745937,"LOC100745937","-","XP_033175583.1",599,"uncharacterized protein LOC100745937"
"Un","NT_176622.1",171532,173778,"-",100745937,"LOC100745937","-","XP_003487863.1",599,"uncharacterized protein LOC100745937"
"Un","NT_176622.1",171532,173778,"-",100745937,"LOC100745937","-","XP_012238402.1",599,"uncharacterized protein LOC100745937"
"Un","NT_176622.1",178177,178719,"-",105680474,"LOC105680474","-","XP_012238417.1",180,"EKC/KEOPS complex subunit TPRKB"
"Un","NT_176622.1",179392,180603,"+",100748088,"LOC100748088","-","XP_033175598.1",155,"uncharacterized protein LOC100748088"
"Un","NT_176622.1",179392,180603,"+",100748088,"LOC100748088","-","XP_012238418.1",155,"uncharacterized protein LOC100748088"
"Un","NT_176622.1",183024,213269,"+",100749284,"LOC100749284","-","XP_024222021.2",400,"alaserpin isoform X5"
"Un","NT_176622.1",183024,213269,"+",100749284,"LOC100749284","-","XP_033175591.1",400,"alaserpin isoform X4"
"Un","NT_176622.1",183024,196522,"+",100748088,"LOC100748088","-","XP_033175590.1",401,"antichymotrypsin-2 isoform X2"
"Un","NT_176622.1",183024,196522,"+",100748088,"LOC100748088","-","XP_012238408.1",401,"antichymotrypsin-2 isoform X2"
"Un","NT_176622.1",183024,196118,"+",100748088,"LOC100748088","-","XP_003487890.1",405,"antichymotrypsin-2 isoform X1"
"Un","NT_176622.1",183024,190874,"+",100748088,"LOC100748088","-","XP_012238410.1",399,"antichymotrypsin-2 isoform X6"
"Un","NT_176622.1",183024,190454,"+",100748088,"LOC100748088","-","XP_012238409.1",400,"antichymotrypsin-2 isoform X3"
"Un","NT_176622.1",189660,204547,"+",100742421,"LOC100742421","-","XP_024222022.1",405,"antichymotrypsin-2-like"
"Un","NT_176622.1",208043,212804,"+",100741216,"LOC100741216","-","XP_033175586.1",405,"antichymotrypsin-2 isoform X2"
"Un","NT_176622.1",208720,212804,"+",100741216,"LOC100741216","-","XP_033175585.1",434,"antichymotrypsin-2 isoform X1"
"Un","NT_176622.1",214206,219154,"+",105680473,"LOC105680473","-","XP_033175547.1",457,"antichymotrypsin-2, partial"
"Un","NT_176622.1",221707,225163,"-",100743619,"LOC100743619","-","XP_003487927.1",1056,"uncharacterized protein LOC100743619"
"Un","NT_176622.1",226671,232094,"+",100742544,"LOC100742544","-","XP_003487918.1",1069,"structural maintenance of chromosomes protein 6"
"Un","NT_176622.1",233623,236383,"-",100742660,"LOC100742660","-","XP_024221935.1",147,"cuticle protein 21-like"
"Un","NT_176622.1",242516,244395,"+",100745527,"LOC100745527","-","XP_033175600.1",240,"larval cuticle protein A3A-like"
"Un","NT_176622.1",251655,253906,"-",100745651,"LOC100745651","-","XP_012238435.1",323,"SWI/SNF chromatin-remodeling complex subunit SNF5-like"
"Un","NT_176622.1",256961,257876,"-",100745774,"LOC100745774","-","XP_033175599.1",125,"larval cuticle protein A2B-like"
"Un","NT_176622.1",259403,260587,"-",100745890,"LOC100745890","-","XP_003487946.1",159,"uncharacterized protein LOC100745890"
"Un","NT_176622.1",263759,268585,"-",100746254,"LOC100746254","-","XP_024221963.1",407,"blood vessel epicardial substance isoform X2"
"Un","NT_176622.1",263759,268585,"-",100746254,"LOC100746254","-","XP_003487951.1",408,"blood vessel epicardial substance isoform X1"
"Un","NT_176622.1",270163,271095,"+",100746653,"LOC100746653","-","XP_003487954.1",124,"lisH domain-containing protein FOPNL"
"Un","NT_176622.1",270163,271095,"+",100746653,"LOC100746653","-","XP_012238438.1",124,"lisH domain-containing protein FOPNL"
"Un","NT_176622.1",271885,283347,"-",100746010,"LOC100746010","-","XP_012238430.1",1963,"E3 ubiquitin-protein ligase RBBP6 isoform X2"
"Un","NT_176622.1",271885,283347,"-",100746010,"LOC100746010","-","XP_012238426.1",1964,"E3 ubiquitin-protein ligase RBBP6 isoform X1"
"Un","NT_176622.1",271885,283347,"-",100746010,"LOC100746010","-","XP_012238427.1",1964,"E3 ubiquitin-protein ligase RBBP6 isoform X1"
"Un","NT_176622.1",271885,283347,"-",100746010,"LOC100746010","-","XP_012238428.1",1964,"E3 ubiquitin-protein ligase RBBP6 isoform X1"
"Un","NT_176622.1",288089,289346,"-",105680475,"LOC105680475","-","XP_012238436.1",322,"DCN1-like protein 3"
"Un","NT_176622.1",291970,299738,"+",100746133,"LOC100746133","-","XP_033175579.1",2121,"activating signal cointegrator 1 complex subunit 3 isoform X1"
"Un","NT_176622.1",291970,299738,"+",100746133,"LOC100746133","-","XP_033175580.1",2121,"activating signal cointegrator 1 complex subunit 3 isoform X1"
"Un","NT_176622.1",291970,299738,"+",100746133,"LOC100746133","-","XP_003487948.1",2121,"activating signal cointegrator 1 complex subunit 3 isoform X1"
"Un","NT_176622.1",291970,299738,"+",100746133,"LOC100746133","-","XP_012238419.1",2121,"activating signal cointegrator 1 complex subunit 3 isoform X1"
"Un","NT_176622.1",291970,299738,"+",100746133,"LOC100746133","-","XP_012238420.1",2121,"activating signal cointegrator 1 complex subunit 3 isoform X1"
"Un","NT_176622.1",291970,299738,"+",100746133,"LOC100746133","-","XP_012238421.1",2121,"activating signal cointegrator 1 complex subunit 3 isoform X1"
"Un","NT_176622.1",291970,299738,"+",100746133,"LOC100746133","-","XP_012238422.1",2121,"activating signal cointegrator 1 complex subunit 3 isoform X1"
"Un","NT_176622.1",292654,299738,"+",100746133,"LOC100746133","-","XP_033175581.1",2001,"activating signal cointegrator 1 complex subunit 3 isoform X2"
"Un","NT_176622.1",301442,304129,"-",100746533,"LOC100746533","-","XP_024221964.1",296,"protein MEMO1"
"Un","NT_176622.1",306933,308781,"+",100746925,"LOC100746925","-","XP_024221961.1",459,"regulator of gene activity isoform X1"
"Un","NT_176622.1",306933,308781,"+",100746925,"LOC100746925","-","XP_024221962.1",459,"regulator of gene activity isoform X1"
"Un","NT_176622.1",306933,308781,"+",100746925,"LOC100746925","-","XP_012238431.1",459,"regulator of gene activity isoform X1"
"Un","NT_176622.1",306933,308781,"+",100746925,"LOC100746925","-","XP_012238432.1",459,"regulator of gene activity isoform X1"
"Un","NT_176622.1",306933,308781,"+",100746925,"LOC100746925","-","XP_012238433.1",452,"regulator of gene activity isoform X2"
"Un","NT_176622.1",310099,313066,"-",105680488,"LOC105680488","-","XP_033175556.1",501,"malonyl-CoA decarboxylase, mitochondrial"
"Un","NT_176622.1",310099,313066,"-",105680488,"LOC105680488","-","XP_012238584.1",501,"malonyl-CoA decarboxylase, mitochondrial"
"Un","NT_176622.1",313770,316621,"+",105680218,"LOC105680218","-","XP_012238582.1",505,"uncharacterized protein LOC105680218 isoform X1"
"Un","NT_176622.1",313770,315986,"+",105680218,"LOC105680218","-","XP_012238583.1",504,"uncharacterized protein LOC105680218 isoform X2"
"Un","NT_176622.1",317797,330051,"+",100747046,"LOC100747046","-","XP_024221968.1",1268,"regulatory-associated protein of mTOR isoform X4"
"Un","NT_176622.1",317797,323892,"+",100747046,"LOC100747046","-","XP_003487958.1",1287,"regulatory-associated protein of mTOR isoform X1"
"Un","NT_176622.1",317797,323892,"+",100747046,"LOC100747046","-","XP_012238581.1",1285,"regulatory-associated protein of mTOR isoform X2"
"Un","NT_176622.1",317797,323892,"+",100747046,"LOC100747046","-","XP_003487957.1",1273,"regulatory-associated protein of mTOR isoform X3"
"Un","NT_176622.1",329844,388453,"+",100747243,"LOC100747243","-","XP_003487959.2",308,"putative phosphatidate phosphatase isoform X1"
"Un","NT_176622.1",329844,381203,"+",100747243,"LOC100747243","-","XP_012238588.1",304,"putative phosphatidate phosphatase isoform X2"
"Un","NT_176622.1",390313,392730,"-",100747363,"LOC100747363","-","XP_003487960.1",514,"N-sulphoglucosamine sulphohydrolase"
"Un","NT_176622.1",393439,394452,"+",100747484,"LOC100747484","-","XP_003487961.1",262,"phosphomannomutase"
"Un","NT_176622.1",393439,394452,"+",100747484,"LOC100747484","-","XP_012238617.1",262,"phosphomannomutase"
"Un","NT_176622.1",393439,394452,"+",100747484,"LOC100747484","-","XP_012238619.1",262,"phosphomannomutase"
"Un","NT_176622.1",395185,396181,"-",100747600,"LOC100747600","-","XP_024221973.1",300,"methylglutaconyl-CoA hydratase, mitochondrial"
"Un","NT_176622.1",395185,396181,"-",100747600,"LOC100747600","-","XP_003487962.1",300,"methylglutaconyl-CoA hydratase, mitochondrial"
"Un","NT_176622.1",401730,422619,"-",100747723,"LOC100747723","-","XP_024221974.1",571,"protein bfr2"
"Un","NT_176622.1",431477,433223,"+",100747845,"LOC100747845","-","XP_012238681.1",407,"leukocyte elastase inhibitor isoform X1"
"Un","NT_176622.1",431636,433223,"+",100747845,"LOC100747845","-","XP_003487963.1",390,"leukocyte elastase inhibitor isoform X2"
